protocol,seed,family,in_train,in_test,scored,recall,precision,support
capture-aware (file-proportion),60606,Benign,True,True,True,0.40641711229946526,0.3890784982935154,561
capture-aware (file-proportion),60606,Brute Force,True,False,False,,,0
capture-aware (file-proportion),60606,DDOS,True,True,True,0.8942245295262816,0.6954912516823688,4623
capture-aware (file-proportion),60606,DOS,True,True,True,0.9307863404422347,0.9946868008948546,30572
capture-aware (file-proportion),60606,Mirai,True,True,True,0.2909604519774011,0.3366013071895425,354
capture-aware (file-proportion),60606,Recon,True,False,False,,,0
capture-aware (file-proportion),60606,Spoofing,True,False,False,,,0
capture-aware (file-proportion),60606,Web-Based,True,False,False,,,0
capture-aware (size-matched),60606,Benign,True,True,True,0.24180690876882197,0.29770992366412213,1129
capture-aware (size-matched),60606,Brute Force,True,False,False,,,0
capture-aware (size-matched),60606,DDOS,True,True,True,0.622718253968254,0.8615152346966786,10080
capture-aware (size-matched),60606,DOS,True,True,True,0.9667114649023054,0.6356467949153695,9673
capture-aware (size-matched),60606,Mirai,True,True,True,0.2916666666666667,0.3100511073253833,624
capture-aware (size-matched),60606,Recon,False,True,False,,,2717
capture-aware (size-matched),60606,Spoofing,True,True,True,0.10782442748091603,0.3062330623306233,1048
capture-aware (size-matched),60606,Web-Based,True,False,False,,,0
capture-aware (file-proportion),24680,Benign,True,False,False,,,0
capture-aware (file-proportion),24680,Brute Force,True,False,False,,,0
capture-aware (file-proportion),24680,DDOS,True,True,True,0.8607637715444407,0.8663265306122448,2959
capture-aware (file-proportion),24680,DOS,True,True,True,0.938562091503268,0.963170731707317,8415
capture-aware (file-proportion),24680,Mirai,True,True,True,0.38563829787234044,0.35714285714285715,376
capture-aware (file-proportion),24680,Recon,True,False,False,,,0
capture-aware (file-proportion),24680,Spoofing,True,True,True,0.11134453781512606,0.7412587412587412,952
capture-aware (file-proportion),24680,Web-Based,True,False,False,,,0
capture-aware (size-matched),24680,Benign,True,False,False,,,0
capture-aware (size-matched),24680,Brute Force,True,False,False,,,0
capture-aware (size-matched),24680,DDOS,True,True,True,0.9608333333333333,0.49634093844167027,3600
capture-aware (size-matched),24680,DOS,True,True,True,0.8559540082013347,0.9898186889818689,24874
capture-aware (size-matched),24680,Mirai,True,True,True,0.42528735632183906,0.18407960199004975,87
capture-aware (size-matched),24680,Recon,True,False,False,,,0
capture-aware (size-matched),24680,Spoofing,True,False,False,,,0
capture-aware (size-matched),24680,Web-Based,True,True,True,0.02144082332761578,0.6944444444444444,1166
