task,seed,variant,depth,n_features,accuracy,f1_macro,benign_recall
binary,8,full,None,72,0.9817654536786906,0.6937945249186361,0.3081632653061224
binary,8,no_ports,None,70,0.9807325599872875,0.6946090062879413,0.32857142857142857
binary,8,no_timing_pair,None,70,0.9815270935960592,0.6889869713085008,0.3
binary,8,no_arbitrary_pair,None,70,0.9815668202764977,0.6892526584499604,0.3
binary,2718,full,None,72,0.9824408072461465,0.7150835459489403,0.35306122448979593
binary,2718,no_ports,None,70,0.9808914667090418,0.712532031319317,0.37755102040816324
binary,2718,no_timing_pair,None,70,0.9825599872874623,0.7187732470625308,0.36122448979591837
binary,2718,no_arbitrary_pair,None,70,0.9825997139679008,0.7183653888891444,0.35918367346938773
binary,31415,full,None,72,0.981924360400445,0.7041166685435056,0.3326530612244898
binary,31415,no_ports,None,70,0.9805339265850945,0.706135010719372,0.3653061224489796
binary,31415,no_timing_pair,None,70,0.9824408072461465,0.7100119424987711,0.33877551020408164
binary,31415,no_arbitrary_pair,None,70,0.9820832671221993,0.7096446843318718,0.3448979591836735
binary,161803,full,None,72,0.9817654536786906,0.6922013613158027,0.3040816326530612
binary,161803,no_ports,None,70,0.9798188463372001,0.6873644988536953,0.32448979591836735
binary,161803,no_timing_pair,None,70,0.9817654536786906,0.6922013613158027,0.3040816326530612
binary,161803,no_arbitrary_pair,None,70,0.9816860003178134,0.6932540561464707,0.3081632653061224
binary,271828,full,None,72,0.9806531066264103,0.6856836706638864,0.30612244897959184
binary,271828,no_ports,None,70,0.9769585253456221,0.665338727244837,0.3081632653061224
binary,271828,no_timing_pair,None,70,0.9809709200699189,0.692385501605593,0.3183673469387755
binary,271828,no_arbitrary_pair,None,70,0.9808914667090418,0.6903305835113754,0.3142857142857143
binary,4,full,None,72,0.9815668202764977,0.6986438025750072,0.32448979591836735
binary,4,no_ports,None,70,0.9790243127284284,0.6803813833225598,0.3183673469387755
binary,4,no_timing_pair,None,70,0.9812887335134276,0.6937119799648157,0.3163265306122449
binary,4,no_arbitrary_pair,None,70,0.9813681868743048,0.6957793127361942,0.32040816326530613
binary,77,full,None,72,0.9814079135547433,0.6857573068753193,0.2938775510204082
binary,77,no_ports,None,70,0.9776736055935166,0.666050827766044,0.3
binary,77,no_timing_pair,None,70,0.9814873669156206,0.6942659846254011,0.3142857142857143
binary,77,no_arbitrary_pair,None,70,0.9814476402351819,0.687649280862516,0.2979591836734694
multiclass,42,full,25,72,0.9132766566025743,0.6120049366775601,
multiclass,42,no_ports,25,70,0.903980613379946,0.5863145503089036,
multiclass,42,no_timing_pair,25,70,0.9126807563959956,0.6122034406484522,
multiclass,42,no_arbitrary_pair,25,70,0.9131574765612586,0.611830872092318,
multiclass,7,full,25,72,0.9166931511202924,0.6241497021022244,
multiclass,7,no_ports,25,70,0.9076354679802956,0.6001560899915502,
multiclass,7,no_timing_pair,25,70,0.914825997139679,0.6226205038429979,
multiclass,7,no_arbitrary_pair,25,70,0.9157397107897665,0.6206290299124566,
multiclass,123,full,25,72,0.9156602574288892,0.6096410504579207,
multiclass,123,no_ports,25,70,0.905688860638805,0.5826771283714702,
multiclass,123,no_timing_pair,25,70,0.9150246305418719,0.6096042814004697,
multiclass,123,no_arbitrary_pair,25,70,0.9154616240266963,0.6086042269138474,
multiclass,2024,full,25,72,0.9144287303352931,0.6140257162077872,
